94,SUNUASSUR,1.04,1.04,-,-,-,1.04,-,-,4,"25,120","25,160.00"
95,TANTALIZER,0.29,0.29,-,-,-,0.29,-,-,6,"40,000","11,640.00"
96,THOMASWY,2.14,2.14,2.35,2.25,4.26,2.35,0.21,9.81,21,"1,273,457","2,913,785.85"
97,TOTAL,385,385,-,-,-,385,-,-,19,"10,978","4,028,895.90"
98,TOURIST,2.84,2.84,-,-,-,2.84,-,-,1,"10,000","25,600.00"
99,TRANSCOHOT,44.4,44.4,-,-,-,44.4,-,-,11,"5,133","206,767.38"
100,TRANSCORP,6.1,6.1,6.47,6.1,5.72,6.43,0.33,5.41,242,"10,787,028","67,382,687.55"
101,TRIPPLEG,2.38,2.38,-,-,-,2.38,-,-,1,"1,424","3,061.60"
102,UACN,10.8,10.8,-,-,-,10.8,-,-,30,"148,873","1,574,443.00"
103,UBA,17.15,17.15,17.3,17.1,1.16,17.25,0.1,0.58,316,"19,822,493","341,185,025.60"
104,UBN,6.6,6.6,6.95,6.95,-,6.95,0.35,5.3,21,"237,386","1,650,787.50"
105,UCAP,16.9,16.9,-,-,-,16.9,-,-,84,"1,062,777","17,865,256.40"
106,UHOMREIT,36.6,36.6,-,-,-,36.6,-,-,2,"1,000","32,950.00"
107,UNILEVER,13.25,13.25,13.25,13.25,-,13.25,-,-,91,"6,232,524","82,604,391.50"
108,UNITYBNK,0.98,0.98,1,0.98,2,0.98,-,2.04,39,"1,422,802","1,410,047.85"
109,UNIVINSURE,0.24,0.24,0.24,0.23,4.17,0.24,-,-4.17,30,"19,783,821","4,724,375.92"
110,UPDC,1.3,1.3,1.32,1.32,-,1.32,0.02,1.54,17,"663,389","873,623.13"
111,UPDCREIT,3.55,3.55,-,-,-,3.55,-,-,21,"159,557","580,101.70"
112,UPL,2.15,2.15,-,-,-,2.15,-,-,3,"3,467","7,701.22"
113,VERITASKAP,0.25,0.25,0.26,0.26,-,0.26,0.01,4,11,"307,660","79,373.90"
114,VFDGROUP,269.3,269.3,-,-,-,269.3,-,-,59,"24,399","6,567,968.50"
115,VITAFOAM,23.3,23.3,-,-,-,23.3,-,-,28,"228,636","4,935,911.55"
116,WAPCO,29.55,29.55,29.5,29.4,0.34,29.4,-0.15,-0.51,100,"1,725,149","50,864,664.95"
117,WAPIC,0.61,0.61,0.64,0.64,-,0.64,0.03,4.92,25,"327,046","211,312.58"
118,WEMABANK,4.79,4.79,-,-,-,4.79,-,-,73,"1,472,559","6,842,160.84"
119,ZENITHBANK,31.8,31.8,31.8,31.4,1.26,31.6,-0.2,-0.63,515,"32,273,450","1,018,587,067.10"
